time /s	I /mA	E /V
0.200	-418.645	3.776
0.400	-419.300	3.778
0.600	-419.343	3.778
0.800	-419.357	3.778
1.000	-419.372	3.778
1.200	-419.394	3.778
1.400	-419.393	3.778
1.600	-419.399	3.777
1.800	-419.399	3.777
2.000	-419.418	3.777
2.200	-419.391	3.777
2.400	-419.408	3.777
2.600	-419.397	3.777
2.800	-419.408	3.777
3.000	-419.411	3.777
3.200	-419.411	3.777
3.400	-419.399	3.777
3.600	-419.408	3.776
3.800	-419.406	3.776
4.000	-419.412	3.776
4.200	-419.419	3.776
4.400	-419.418	3.776
4.600	-419.410	3.776
4.800	-419.428	3.776
5.000	-419.422	3.776
5.200	-419.419	3.776
5.400	-419.415	3.776
5.600	-419.433	3.776
5.800	-419.429	3.775
6.000	-419.409	3.775
6.200	-419.417	3.775
6.400	-419.417	3.775
6.600	-419.411	3.775
6.800	-419.425	3.775
7.000	-419.422	3.775
7.200	-419.420	3.775
7.400	-419.412	3.775
7.600	-419.429	3.775
7.800	-419.409	3.775
8.000	-419.423	3.775
8.200	-419.421	3.775
8.400	-419.436	3.775
8.600	-419.433	3.774
8.800	-419.427	3.774
9.000	-419.422	3.774
9.200	-419.412	3.774
9.400	-419.431	3.774
9.600	-419.424	3.774
9.800	-419.418	3.774
10.000	-419.433	3.774
10.200	-419.423	3.774
10.400	-419.409	3.774
10.600	-419.420	3.774
10.800	-419.424	3.774
11.000	-419.419	3.774
11.200	-419.413	3.774
11.400	-419.414	3.774
11.600	-419.413	3.773
11.800	-419.411	3.773
12.000	-419.414	3.773
12.200	-419.419	3.773
12.400	-419.414	3.773
12.600	-419.426	3.773
12.800	-419.428	3.773
13.000	-419.410	3.773
13.200	-419.413	3.773
13.400	-419.404	3.773
13.600	-419.423	3.773
13.800	-419.427	3.773
14.000	-419.420	3.773
14.200	-419.425	3.773
14.400	-419.426	3.773
14.600	-419.430	3.773
14.800	-419.421	3.773
15.000	-419.441	3.773
15.200	-419.425	3.772
15.400	-419.429	3.772
15.600	-419.425	3.772
15.800	-419.418	3.772
16.000	-419.412	3.772
16.200	-419.411	3.772
16.400	-419.411	3.772
16.600	-419.416	3.772
16.800	-419.436	3.772
17.000	-419.419	3.772
17.200	-419.419	3.772
17.400	-419.432	3.772
17.600	-419.404	3.772
17.800	-419.419	3.772
18.000	-419.432	3.772
18.200	-419.426	3.772
18.400	-419.437	3.772
18.600	-419.421	3.772
18.800	-419.422	3.772
19.000	-419.421	3.771
19.200	-419.417	3.771
19.400	-419.425	3.771
19.600	-419.404	3.771
19.800	-419.434	3.771
20.000	-419.421	3.771
20.200	-419.407	3.771
20.400	-419.432	3.771
20.600	-419.435	3.771
20.800	-419.422	3.771
21.000	-419.428	3.771
21.200	-419.450	3.771
21.400	-419.439	3.771
21.600	-419.428	3.771
21.800	-419.451	3.771
22.000	-419.439	3.771
22.200	-419.429	3.771
22.400	-419.438	3.771
22.600	-419.429	3.771
22.800	-419.430	3.771
23.000	-419.431	3.771
23.200	-419.430	3.771
23.400	-419.436	3.770
23.600	-419.422	3.770
23.800	-419.435	3.770
24.000	-419.418	3.770
24.200	-419.422	3.770
24.400	-419.429	3.770
24.600	-419.447	3.770
24.800	-419.436	3.770
25.000	-419.428	3.770
25.200	-419.427	3.770
25.400	-419.407	3.770
25.600	-419.427	3.770
25.800	-419.433	3.770
26.000	-419.396	3.770
26.200	-419.421	3.770
26.400	-419.444	3.770
26.600	-419.436	3.770
26.800	-419.441	3.770
27.000	-419.432	3.770
27.200	-419.447	3.770
27.400	-419.421	3.770
27.600	-419.451	3.770
27.800	-419.427	3.770
28.000	-419.433	3.769
28.200	-419.439	3.769
28.400	-419.438	3.769
28.600	-419.431	3.769
28.800	-419.437	3.769
29.000	-419.444	3.769
29.200	-419.413	3.769
29.400	-419.443	3.769
29.600	-419.439	3.769
29.800	-419.428	3.769
30.000	-419.420	3.769
30.200	-419.423	3.769
30.400	-419.431	3.769
30.600	-419.429	3.769
30.800	-419.433	3.769
31.000	-419.449	3.769
31.200	-419.438	3.769
31.400	-419.436	3.769
31.600	-419.428	3.769
31.800	-419.436	3.769
32.000	-419.421	3.769
32.200	-419.443	3.769
32.400	-419.467	3.769
32.600	-419.446	3.769
32.800	-419.424	3.769
33.000	-419.416	3.769
33.200	-419.449	3.769
33.400	-419.425	3.768
33.600	-419.416	3.768
33.800	-419.437	3.768
34.000	-419.424	3.768
34.200	-419.422	3.768
34.400	-419.432	3.768
34.600	-419.447	3.768
34.800	-419.421	3.768
35.000	-419.420	3.768
35.200	-419.426	3.768
35.400	-419.420	3.768
35.600	-419.414	3.768
35.800	-419.437	3.768
36.000	-419.423	3.768
36.200	-419.433	3.768
36.400	-419.422	3.768
36.600	-419.436	3.768
36.800	-419.432	3.768
37.000	-419.429	3.768
37.200	-419.429	3.768
37.400	-419.398	3.768
37.600	-419.419	3.768
37.800	-419.422	3.768
38.000	-419.420	3.768
38.200	-419.427	3.767
38.400	-419.425	3.767
38.600	-419.424	3.767
38.800	-419.408	3.767
39.000	-419.411	3.767
39.200	-419.422	3.767
39.400	-419.411	3.767
39.600	-419.415	3.767
39.800	-419.427	3.767
40.000	-419.418	3.767
40.200	-419.418	3.767
40.400	-419.449	3.767
40.600	-419.431	3.767
40.800	-419.429	3.767
41.000	-419.435	3.767
41.200	-419.434	3.767
41.400	-419.436	3.767
41.600	-419.431	3.767
41.800	-419.449	3.767
42.000	-419.421	3.767
42.200	-419.437	3.767
42.400	-419.436	3.767
42.600	-419.454	3.767
42.800	-419.413	3.767
43.000	-419.423	3.767
43.200	-419.429	3.767
43.400	-419.451	3.767
43.600	-419.430	3.767
43.800	-419.441	3.767
44.000	-419.437	3.767
44.200	-419.442	3.766
44.400	-419.429	3.766
44.600	-419.438	3.766
44.800	-419.433	3.766
45.000	-419.432	3.766
45.200	-419.437	3.766
45.400	-419.414	3.766
45.600	-419.422	3.766
45.800	-419.436	3.766
46.000	-419.411	3.766
46.200	-419.411	3.766
46.400	-419.431	3.766
46.600	-419.414	3.766
46.800	-419.419	3.766
47.000	-419.428	3.766
47.200	-419.427	3.766
47.400	-419.435	3.766
47.600	-419.439	3.766
47.800	-419.430	3.766
48.000	-419.433	3.766
48.200	-419.429	3.766
48.400	-419.428	3.766
48.600	-419.420	3.766
48.800	-419.421	3.766
49.000	-419.433	3.766
49.200	-419.429	3.766
49.400	-419.430	3.766
49.600	-419.420	3.766
49.800	-419.415	3.766
50.000	-419.430	3.766
50.200	-419.423	3.765
50.400	-419.419	3.765
50.600	-419.419	3.765
50.800	-419.423	3.765
51.000	-419.426	3.765
51.200	-419.436	3.765
51.400	-419.432	3.765
51.600	-419.437	3.765
51.800	-419.426	3.765
52.000	-419.432	3.765
52.200	-419.431	3.765
52.400	-419.433	3.765
52.600	-419.425	3.765
52.800	-419.437	3.765
53.000	-419.423	3.765
53.200	-419.419	3.765
53.400	-419.424	3.765
53.600	-419.426	3.765
53.800	-419.418	3.765
54.000	-419.436	3.765
54.200	-419.421	3.765
54.400	-419.432	3.765
54.600	-419.422	3.765
54.800	-419.422	3.765
55.000	-419.436	3.765
55.200	-419.407	3.765
55.400	-419.426	3.765
55.600	-419.425	3.765
55.800	-419.417	3.765
56.000	-419.420	3.765
56.200	-419.426	3.765
56.400	-419.428	3.765
56.600	-419.434	3.765
56.800	-419.427	3.764
57.000	-419.431	3.765
57.200	-419.415	3.765
57.400	-419.431	3.764
57.600	-419.416	3.764
57.800	-419.427	3.764
58.000	-419.431	3.764
58.200	-419.441	3.764
58.400	-419.432	3.764
58.600	-419.422	3.764
58.800	-419.436	3.764
59.000	-419.419	3.764
59.200	-419.432	3.764
59.400	-419.443	3.764
59.600	-419.441	3.764
59.800	-419.429	3.764
60.000	-419.428	3.764
60.200	-419.425	3.764
60.400	-419.420	3.764
60.600	-419.451	3.764
60.800	-419.431	3.764
61.000	-419.428	3.764
61.200	-419.438	3.764
61.400	-419.446	3.764
61.600	-419.441	3.764
61.800	-419.421	3.764
62.000	-419.413	3.764
62.200	-419.406	3.764
62.400	-419.420	3.764
62.600	-419.436	3.764
62.800	-419.434	3.764
63.000	-419.425	3.764
63.200	-419.428	3.764
63.400	-419.426	3.764
63.600	-419.416	3.764
63.800	-419.404	3.763
64.000	-419.410	3.763
64.200	-419.400	3.763
64.400	-419.401	3.763
64.600	-419.399	3.763
64.800	-419.425	3.763
65.000	-419.410	3.763
65.200	-419.429	3.763
65.400	-419.415	3.763
65.600	-419.435	3.763
65.800	-419.414	3.763
66.000	-419.437	3.763
66.200	-419.420	3.763
66.400	-419.415	3.763
