freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	5.596E-02	1.069E+00	
7.943E+02	5.611E-02	8.486E-01	
6.310E+02	5.624E-02	6.739E-01	
5.012E+02	5.642E-02	5.350E-01	
3.981E+02	5.659E-02	4.248E-01	
3.162E+02	5.677E-02	3.372E-01	
2.512E+02	5.694E-02	2.677E-01	
1.995E+02	5.712E-02	2.124E-01	
1.585E+02	5.728E-02	1.686E-01	
1.259E+02	5.744E-02	1.338E-01	
1.000E+02	5.758E-02	1.061E-01	
7.943E+01	5.781E-02	8.456E-02	
6.310E+01	5.791E-02	6.708E-02	
5.200E+01	5.799E-02	5.522E-02	
3.981E+01	5.808E-02	4.218E-02	
3.162E+01	5.816E-02	3.348E-02	
2.512E+01	5.820E-02	2.654E-02	
1.995E+01	5.824E-02	2.104E-02	
1.585E+01	5.826E-02	1.664E-02	
1.259E+01	5.831E-02	1.320E-02	
1.000E+01	5.834E-02	1.040E-02	
7.943E+00	5.836E-02	8.223E-03	
6.310E+00	5.834E-02	6.469E-03	
5.012E+00	5.835E-02	5.019E-03	
3.981E+00	5.838E-02	3.936E-03	
3.162E+00	5.842E-02	3.086E-03	
2.512E+00	5.850E-02	2.262E-03	
1.995E+00	5.857E-02	1.650E-03	
1.585E+00	5.866E-02	1.114E-03	
1.259E+00	5.862E-02	7.138E-04	
1.000E+00	5.867E-02	3.635E-04	
7.943E-01	5.877E-02	-6.678E-06	
6.310E-01	5.890E-02	-3.460E-04	
5.012E-01	5.895E-02	-2.873E-04	
3.981E-01	5.911E-02	-5.724E-04	
3.162E-01	5.935E-02	-9.046E-04	
2.512E-01	5.945E-02	-1.303E-03	
1.995E-01	5.972E-02	-1.580E-03	
1.585E-01	5.988E-02	-1.884E-03	
1.259E-01	6.010E-02	-2.179E-03	
1.000E-01	6.031E-02	-2.544E-03	
7.943E-02	6.066E-02	-2.986E-03	
6.310E-02	6.090E-02	-3.489E-03	
5.012E-02	6.132E-02	-4.014E-03	
3.981E-02	6.163E-02	-4.706E-03	
3.162E-02	6.223E-02	-5.403E-03	
2.512E-02	6.265E-02	-6.497E-03	
1.995E-02	6.334E-02	-7.419E-03	
1.585E-02	6.435E-02	-8.624E-03	
1.259E-02	6.526E-02	-1.006E-02	
1.000E-02	6.668E-02	-1.139E-02	
