time /s	I /mA	E /V
0.200	209.387	3.158
0.400	209.826	3.159
0.600	209.849	3.159
0.800	209.860	3.159
1.000	209.864	3.160
1.200	209.865	3.160
1.400	209.871	3.160
1.600	209.873	3.160
1.800	209.873	3.160
2.000	209.873	3.160
2.200	209.877	3.160
2.400	209.876	3.161
2.600	209.876	3.161
2.800	209.879	3.161
3.000	209.878	3.161
3.200	209.879	3.161
3.400	209.879	3.161
3.600	209.879	3.161
3.800	209.880	3.161
4.000	209.881	3.161
4.200	209.881	3.162
4.400	209.882	3.162
4.600	209.885	3.162
4.800	209.883	3.162
5.000	209.882	3.162
5.200	209.883	3.162
5.400	209.883	3.162
5.600	209.882	3.162
5.800	209.883	3.162
6.000	209.882	3.163
6.200	209.885	3.163
6.400	209.884	3.163
6.600	209.883	3.163
6.800	209.884	3.163
7.000	209.883	3.163
7.200	209.884	3.163
7.400	209.883	3.163
7.600	209.885	3.163
7.800	209.884	3.163
8.000	209.884	3.164
8.200	209.882	3.164
8.400	209.885	3.164
8.600	209.885	3.164
8.800	209.884	3.164
9.000	209.884	3.164
9.200	209.884	3.164
9.400	209.884	3.164
9.600	209.883	3.164
9.800	209.883	3.164
10.000	209.884	3.164
10.200	209.884	3.165
10.400	209.884	3.165
10.600	209.884	3.165
10.800	209.882	3.165
11.000	209.883	3.165
11.200	209.882	3.165
11.400	209.883	3.165
11.600	209.883	3.165
11.800	209.884	3.165
12.000	209.885	3.165
12.200	209.884	3.165
12.400	209.883	3.166
12.600	209.883	3.166
12.800	209.885	3.166
13.000	209.883	3.166
13.200	209.885	3.166
13.400	209.883	3.166
13.600	209.883	3.166
13.800	209.884	3.166
14.000	209.884	3.166
14.200	209.883	3.166
14.400	209.883	3.166
14.600	209.884	3.167
14.800	209.884	3.167
15.000	209.883	3.167
15.200	209.882	3.167
15.400	209.884	3.167
15.600	209.885	3.167
15.800	209.884	3.167
16.000	209.882	3.167
16.200	209.884	3.167
16.400	209.884	3.167
16.600	209.885	3.167
16.800	209.882	3.167
17.000	209.883	3.167
17.200	209.883	3.167
17.400	209.883	3.168
17.600	209.884	3.168
17.800	209.886	3.168
18.000	209.885	3.168
18.200	209.884	3.168
18.400	209.885	3.168
18.600	209.885	3.168
18.800	209.883	3.168
19.000	209.885	3.168
19.200	209.885	3.168
19.400	209.883	3.168
19.600	209.885	3.168
19.800	209.885	3.169
20.000	209.885	3.169
20.200	209.886	3.169
20.400	209.885	3.169
20.600	209.885	3.169
20.800	209.886	3.169
21.000	209.886	3.169
21.200	209.885	3.169
21.400	209.885	3.169
21.600	209.887	3.169
21.800	209.884	3.169
22.000	209.886	3.169
22.200	209.887	3.169
22.400	209.888	3.170
22.600	209.886	3.170
22.800	209.887	3.170
23.000	209.885	3.170
23.200	209.886	3.170
23.400	209.886	3.170
23.600	209.886	3.170
23.800	209.886	3.170
24.000	209.887	3.170
24.200	209.886	3.170
24.400	209.886	3.170
24.600	209.886	3.170
24.800	209.886	3.170
25.000	209.885	3.170
25.200	209.886	3.171
25.400	209.886	3.171
25.600	209.887	3.171
25.800	209.886	3.171
26.000	209.887	3.171
26.200	209.887	3.171
26.400	209.886	3.171
26.600	209.884	3.171
26.800	209.884	3.171
27.000	209.884	3.171
27.200	209.884	3.171
27.400	209.886	3.171
27.600	209.886	3.171
27.800	209.885	3.172
28.000	209.885	3.172
28.200	209.885	3.172
28.400	209.885	3.172
28.600	209.885	3.172
28.800	209.885	3.172
29.000	209.885	3.172
29.200	209.885	3.172
29.400	209.885	3.172
29.600	209.886	3.172
29.800	209.886	3.172
30.000	209.886	3.172
30.200	209.886	3.172
30.400	209.887	3.172
30.600	209.889	3.172
30.800	209.888	3.173
31.000	209.886	3.173
31.200	209.888	3.173
31.400	209.889	3.173
31.600	209.888	3.173
31.800	209.888	3.173
32.000	209.888	3.173
32.200	209.888	3.173
32.400	209.886	3.173
32.600	209.888	3.173
32.800	209.888	3.173
33.000	209.889	3.173
33.200	209.889	3.173
33.400	209.890	3.173
33.600	209.889	3.173
33.800	209.889	3.174
34.000	209.888	3.174
34.200	209.888	3.174
34.400	209.888	3.174
34.600	209.886	3.174
34.800	209.888	3.174
35.000	209.889	3.174
35.200	209.889	3.174
35.400	209.888	3.174
35.600	209.885	3.174
35.800	209.886	3.174
36.000	209.889	3.174
36.200	209.888	3.174
36.400	209.889	3.174
36.600	209.886	3.174
