freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	5.622E-02	1.069E+00	
7.943E+02	5.638E-02	8.485E-01	
6.310E+02	5.652E-02	6.738E-01	
5.012E+02	5.670E-02	5.350E-01	
3.981E+02	5.690E-02	4.247E-01	
3.162E+02	5.707E-02	3.372E-01	
2.512E+02	5.725E-02	2.676E-01	
1.995E+02	5.744E-02	2.123E-01	
1.585E+02	5.762E-02	1.685E-01	
1.259E+02	5.779E-02	1.337E-01	
1.000E+02	5.796E-02	1.061E-01	
7.943E+01	5.819E-02	8.454E-02	
6.310E+01	5.830E-02	6.706E-02	
5.200E+01	5.837E-02	5.519E-02	
3.981E+01	5.846E-02	4.218E-02	
3.162E+01	5.853E-02	3.345E-02	
2.512E+01	5.857E-02	2.650E-02	
1.995E+01	5.865E-02	2.098E-02	
1.585E+01	5.861E-02	1.662E-02	
1.259E+01	5.871E-02	1.316E-02	
1.000E+01	5.871E-02	1.035E-02	
7.943E+00	5.876E-02	8.179E-03	
6.310E+00	5.875E-02	6.409E-03	
5.012E+00	5.881E-02	5.065E-03	
3.981E+00	5.882E-02	3.894E-03	
3.162E+00	5.890E-02	2.935E-03	
2.512E+00	5.899E-02	2.257E-03	
1.995E+00	5.890E-02	1.672E-03	
1.585E+00	5.894E-02	1.128E-03	
1.259E+00	5.901E-02	7.209E-04	
1.000E+00	5.909E-02	3.905E-04	
7.943E-01	5.915E-02	8.629E-05	
6.310E-01	5.933E-02	-2.803E-04	
5.012E-01	5.946E-02	-2.011E-04	
3.981E-01	5.949E-02	-5.971E-04	
3.162E-01	5.964E-02	-9.063E-04	
2.512E-01	5.985E-02	-1.200E-03	
1.995E-01	5.998E-02	-1.495E-03	
1.585E-01	6.028E-02	-1.783E-03	
1.259E-01	6.035E-02	-2.180E-03	
1.000E-01	6.068E-02	-2.516E-03	
7.943E-02	6.104E-02	-2.952E-03	
6.310E-02	6.124E-02	-3.431E-03	
5.012E-02	6.164E-02	-3.958E-03	
3.981E-02	6.196E-02	-4.686E-03	
3.162E-02	6.251E-02	-5.375E-03	
2.512E-02	6.292E-02	-6.437E-03	
1.995E-02	6.360E-02	-7.310E-03	
1.585E-02	6.466E-02	-8.674E-03	
1.259E-02	6.554E-02	-9.961E-03	
1.000E-02	6.678E-02	-1.141E-02	
